Patient ID,Pearson Correlation,Mutual Information,Bland Altman,PC_zscore,MI_zcore,BA_zscore,PC_FCM,MI_FCM,BA_FCM,PC_KDE,MI_KDE,BA_KDE,PC_WS,MI_WS,BA_WS
Pat77,5.202250349436046,0.94,0.473874375963969,5.202250349436046,0.95,0.47387437973120444,5.202250349436046,0.94,0.4738743692151453,5.202250349436046,0.94,0.47387437459764803,5.202250349436046,0.95,0.473874378136998
Pat79,5.071645293338671,0.96,0.6029600025659123,5.071645293338671,0.97,0.602960003789999,5.071645293338671,0.96,0.6029600060767734,5.071645293338671,0.97,0.6029600015526518,5.071645293338671,0.97,0.6029600042541612
Pat80,4.892598608578025,0.95,0.5523549288175404,4.892598608578025,0.95,0.5523549291407294,4.892598608578025,0.95,0.552354928587378,4.892598608578025,0.95,0.5523549290214872,4.892598608578025,0.94,0.5523549306129667
Pat81,5.08848052095192,0.95,0.5105798536223893,5.08848052095192,0.96,0.5105798506393385,5.08848052095192,0.96,0.510579861791427,5.08848052095192,0.96,0.5105798514938433,5.08848052095192,0.96,0.5105798565211657
Pat83,4.985610768326833,0.94,0.5115665908738656,4.985610768326833,0.95,0.5115665909189646,4.985610768326833,0.95,0.5115665897918481,4.985610768326833,0.95,0.5115665813684683,4.985610768326833,0.95,0.5115665898124526
Pat86,5.151767453154087,0.96,0.6650139339997089,5.151767453154087,0.96,0.665013937527453,5.151767453154087,0.96,0.6650139366024677,5.151767453154087,0.96,0.6650139335278654,5.151767453154087,0.96,0.665013934874301
Pat87,4.9455053722964575,0.94,0.5237669372301458,4.9455053722964575,0.95,0.5237669393247206,4.9455053722964575,0.94,0.5237669328812395,4.9455053722964575,0.94,0.5237669424927094,4.9455053722964575,0.94,0.5237669378254546
Pat88,5.124410370642838,0.96,0.558242700303474,5.124410370642838,0.97,0.5582426984317276,5.124410370642838,0.96,0.5582427102849111,5.124410370642838,0.97,0.5582426958034593,5.124410370642838,0.96,0.5582427042417358
Pat90,5.317948021121252,0.97,0.7870814343370027,5.317948021121252,0.96,0.7870814350165998,5.317948021121252,0.96,0.787081439458936,5.317948021121252,0.96,0.7870814327395865,5.317948021121252,0.96,0.7870814331095539
Pat91,5.115921901842699,0.95,0.6706703824062812,5.115921901842699,0.96,0.6706703817995605,5.115921901842699,0.96,0.6706703793999204,5.115921901842699,0.96,0.6706703801679827,5.115921901842699,0.95,0.670670379403547
Pat92,5.158218257690201,0.94,0.5916190096854855,5.158218257690201,0.94,0.5916190121049222,5.158218257690201,0.95,0.5916190104135031,5.158218257690201,0.94,0.591619004104601,5.158218257690201,0.95,0.591619007140507
Pat93,5.041124090433193,0.95,0.6243319198581287,5.041124090433193,0.95,0.6243319205968549,5.041124090433193,0.95,0.6243319198887122,5.041124090433193,0.95,0.624331920514077,5.041124090433193,0.94,0.6243319187177778
Pat94,5.068616139033612,0.96,0.7325990572661338,5.068616139033612,0.96,0.732599055548583,5.068616139033612,0.95,0.7325990497300326,5.068616139033612,0.95,0.7325990531729655,5.068616139033612,0.95,0.7325990551099736
Pat95,4.981278384931352,0.95,0.5584672858579345,4.981278384931352,0.95,0.558467285823694,4.981278384931352,0.95,0.5584672859295693,4.981278384931352,0.96,0.5584672909922622,4.981278384931352,0.95,0.5584672869849293
Pat99,5.473825790675421,0.95,0.5185660680215012,5.473825790675421,0.95,0.5185660691905071,5.473825790675421,0.94,0.5185660640639204,5.473825790675421,0.94,0.5185660657524429,5.473825790675421,0.94,0.5185660661099368
Pat100,5.228802100756548,0.97,0.5144441565938921,5.228802100756548,0.96,0.5144441545882937,5.228802100756548,0.96,0.5144441546968852,5.228802100756548,0.96,0.5144441533965044,5.228802100756548,0.96,0.5144441581254686
Pat101,5.233282823922441,0.95,0.763865398264114,5.233282823922441,0.95,0.7638653996867181,5.233282823922441,0.95,0.7638653956655843,5.233282823922441,0.95,0.7638653986942976,5.233282823922441,0.95,0.7638653952445397
Pat102,5.133804745498778,0.97,0.8139669389776697,5.133804745498778,0.96,0.813966938603164,5.133804745498778,0.96,0.8139669352490845,5.133804745498778,0.97,0.8139669415466302,5.133804745498778,0.96,0.8139669374126332
Pat103,5.073661486893766,0.97,0.6296923688921444,5.073661486893766,0.96,0.6296923685183953,5.073661486893766,0.96,0.6296923647846694,5.073661486893766,0.96,0.6296923647731802,5.073661486893766,0.96,0.6296923718752953
Pat104,5.241209473283581,0.95,0.5329013254164482,5.241209473283581,0.95,0.5329013294933286,5.241209473283581,0.95,0.5329013222946022,5.241209473283581,0.95,0.532901328001745,5.241209473283581,0.95,0.5329013213940532
Pat105,5.162783417932451,0.97,0.6537777748549966,5.162783417932451,0.97,0.6537777761134674,5.162783417932451,0.97,0.653777776487394,5.162783417932451,0.97,0.6537777742404738,5.162783417932451,0.96,0.653777773133109
Pat107,5.282725961804037,0.95,0.6278915698117007,5.282725961804037,0.95,0.6278915721983249,5.282725961804037,0.95,0.627891571914076,5.282725961804037,0.95,0.6278915762102517,5.282725961804037,0.95,0.6278915675447146
Pat109,5.095390894830231,0.95,0.613076682793505,5.095390894830231,0.96,0.6130766822281137,5.095390894830231,0.95,0.6130766867928698,5.095390894830231,0.95,0.6130766786899472,5.095390894830231,0.95,0.6130766819909252
Pat112,5.265460246494454,0.95,0.443994660732788,5.265460246494454,0.95,0.44399465830680446,5.265460246494454,0.95,0.4439946508507108,5.265460246494454,0.95,0.44399465948002886,5.265460246494454,0.95,0.4439946635752382
Pat113,5.342324243648838,0.94,0.5441684311127414,5.342324243648838,0.94,0.5441684338620378,5.342324243648838,0.94,0.5441684355219265,5.342324243648838,0.94,0.5441684381663839,5.342324243648838,0.94,0.5441684276475545
Pat114,5.253044379984911,0.96,0.691368825795044,5.253044379984911,0.96,0.6913688245557007,5.253044379984911,0.96,0.6913688242460172,5.253044379984911,0.96,0.6913688276220935,5.253044379984911,0.95,0.691368828128684
Pat115,5.283042028800281,0.94,0.5842167180084055,5.283042028800281,0.94,0.5842167199935803,5.283042028800281,0.93,0.5842167189273335,5.283042028800281,0.94,0.5842167248151925,5.283042028800281,0.93,0.5842167157849733
Pat116,5.142017728634277,0.96,0.4874683309738055,5.142017728634277,0.94,0.48746833055836025,5.142017728634277,0.94,0.48746833439354126,5.142017728634277,0.95,0.48746834182788473,5.142017728634277,0.94,0.48746832992359046
Pat118,5.020629436685416,0.94,0.7133673575753682,5.020629436685416,0.95,0.7133673513859612,5.020629436685416,0.94,0.7133673586342938,5.020629436685416,0.95,0.7133673539162095,5.020629436685416,0.95,0.7133673569301735
